Ticker,Industry,Sector,Short Name,Country,Long Business Summary
AAPL,Consumer Electronics,Technology,Apple Inc.,United States,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California."
MSFT,Software - Infrastructure,Technology,Microsoft Corporation,United States,"Microsoft Corporation develops and supports software, services, devices and solutions worldwide. The Productivity and Business Processes segment offers office, exchange, SharePoint, Microsoft Teams, office 365 Security and Compliance, Microsoft viva, and Microsoft 365 copilot; and office consumer services, such as Microsoft 365 consumer subscriptions, Office licensed on-premises, and other office services. This segment also provides LinkedIn; and dynamics business solutions, including Dynamics 365, a set of intelligent, cloud-based applications across ERP, CRM, power apps, and power automate; and on-premises ERP and CRM applications. The Intelligent Cloud segment offers server products and cloud services, such as azure and other cloud services; SQL and windows server, visual studio, system center, and related client access licenses, as well as nuance and GitHub; and enterprise services including enterprise support services, industry solutions, and nuance professional services. The More Personal Computing segment offers Windows, including windows OEM licensing and other non-volume licensing of the Windows operating system; Windows commercial comprising volume licensing of the Windows operating system, windows cloud services, and other Windows commercial offerings; patent licensing; and windows Internet of Things; and devices, such as surface, HoloLens, and PC accessories. Additionally, this segment provides gaming, which includes Xbox hardware and content, and first- and third-party content; Xbox game pass and other subscriptions, cloud gaming, advertising, third-party disc royalties, and other cloud services; and search and news advertising, which includes Bing, Microsoft News and Edge, and third-party affiliates. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online, and retail stores. The company was founded in 1975 and is headquartered in Redmond, Washington."
GOOGL,Internet Content & Information,Communication Services,Alphabet Inc.,United States,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California."
CXM,Software - Application,Technology,"Sprinklr, Inc.",United States,"Sprinklr, Inc. provides enterprise cloud software products worldwide. The company operates Unified Customer Experience Management platform, a software that enables customer-facing teams to collaborate across internal silos, communicate across digital channels, and leverage a complete suite of capabilities to deliver customer experiences. Its products include Sprinklr Service, a suite of artificial intelligence (AI) powered products and solutions that unifies customer service across voice, digital, and social channels; Sprinklr Social, a suite of AI-powered products and solutions that unifies social media publishing and engagement across various channels; Sprinklr Insights, a suite of AI-powered products and solutions that unifies consumer, customer, competitive and industry data from a high volume of third-party, second-party and first-party sources; and Sprinklr Marketing, a suite of AI-powered products and solutions that unifies content production and content lifecycle management with paid campaign orchestration across various channels. The company also provides professional, managed, training, and consultancy services. Sprinklr, Inc. was founded in 2009 and is headquartered in New York, New York."
FCN,Consulting Services,Industrials,"FTI Consulting, Inc.",United States,"FTI Consulting, Inc. provides business advisory services to manage change, mitigate risk, and resolve disputes worldwide. The company operates through Corporate Finance & Restructuring, Forensic and Litigation Consulting, Economic Consulting, Technology, and Strategic Communications segments. The Corporate Finance & Restructuring segment provides business transformation and strategy, transactions, and turnaround and restructuring services. The Forensic and Litigation Consulting segment offers construction and environmental solutions, data and analytics, disputes, health solutions, and risk and investigation services. The Economic Consulting segment provides antitrust and competition economics, financial economics, and international arbitration services. The Technology segment offers corporate legal department consulting; e-discovery and expertise; and information governance, privacy, and security services. The Strategic Communications segment provides corporate reputation, financial communications, and public affairs services. It serves aerospace and defense, airlines and aviation, blockchain and digital assets, chemicals, construction and environmental solutions, energy, financial services, food and agriculture, healthcare and life sciences, hospitality, gaming and leisure, automotive and industrial, insurance, mining, private equity, power and renewable, public sector and government contracts, real estate, retail and consumer products, telecom, media and technology, and transportation and logistics sectors. FTI Consulting, Inc. was incorporated in 1982 and is headquartered in Washington, the District of Columbia."
LPG,Oil & Gas Midstream,Energy,Dorian LPG Ltd.,United States,"Dorian LPG Ltd., together with its subsidiaries, engages in the transportation of liquefied petroleum gas through its LPG tankers worldwide. It owns and operates twenty-five very large gas carriers. The company was incorporated in 2013 and is headquartered in Stamford, Connecticut."
VYX,Information Technology Services,Technology,NCR Voyix Corporation,United States,"NCR Voyix Corporation provides various software and services in the United States, the Americas, the Asia Pacific, Europe, the Middle East, and Africa. The company operates through three segments: Retail; Restaurants; and Digital Banking. It offers software, services, and hardware; and digital banking solutions for financial institution's consumer and business customers. The company provides solutions for banking channel services, transaction processing, imaging, and branch services. In addition, it offers solutions for retail industry comprising comprehensive API-point of sale (POS) retail software platforms and applications, hardware terminals and peripherals, payment processing solutions, and consumer engagement solutions, as well as self-service kiosks, which consists of self-checkout (SCO). Further, the company provides technology solutions to customers in the restaurant industry comprising table-service, quick-service, and fast casual restaurants. Additionally, it offers cloud-based and platform-enabled software applications for point-of-sale, back office, payment processing, kitchen production, restaurant management, eCommerce, mobile ordering, and consumer marketing and loyalty; and restaurant -oriented hardware products, such as POS terminals, kitchen display systems, handheld devices, printers, and peripherals. It also offers solutions for customer account opening and onboarding across digital, branch, and call center channels. The company serves grocery stores, drug stores, and box retailers; and quick service, table service and fast casual restaurants of all sizes, small-and-medium sized businesses to large multi-national, and enterprise clients. The company was formerly known as NCR Corporation and changed its name to NCR Voyix Corporation in October 2023. NCR Voyix Corporation was incorporated in 1884 and is headquartered in Atlanta, Georgia."
VSTS,Rental & Leasing Services,Industrials,Vestis Corporation,United States,"Vestis Corporation provides uniform rentals and workplace supplies in the United States and Canada. Its products include uniform options, such as shirts, pants, outerwear, gowns, scrubs, high visibility garments, particulate-free garments, and flame-resistant garments, as well as shoes and accessories; and workplace supplies, including managed restroom supply services, first-aid supplies and safety products, floor mats, towels, and linens. The company serves manufacturing, hospitality, retail, food processing, food service, pharmaceuticals, healthcare, automotive, and cleanroom industries. Vestis Corporation was founded in 1936 and is headquartered in Roswell, Georgia."
AYI,Electrical Equipment & Parts,Industrials,"Acuity Brands, Inc.",United States,"Acuity Brands, Inc. provides lighting, lighting controls, building management system, location-aware applications in the United States and internationally. The company operates in two segments, Acuity Brands Lighting and Lighting Controls (ABL); and the Intelligent Spaces Group (ISG). The ABL segment provides commercial, architectural, and specialty lighting solutions, as well as lighting controls and components for various indoor and outdoor applications under the A-Light, Aculux, American Electric Lighting, Cyclone, Dark to Light, eldoLED, Eureka, Gotham, Healthcare Lighting, Holophane, Hydrel, IOTA, Juno, Lithonia Lighting, Luminaire LED, Luminis, Mark Architectural Lighting, nLight, OPTOTRONIC, Peerless, RELOC Wiring Solutions, and Sensor Switch. This segment serves electrical distributors, retail home improvement centers, electric utilities, corporate accounts, original equipment manufacturers, digital retailers, lighting showrooms, and energy service companies. The ISG segment offers building management solutions, such as products for controlling heating, ventilation, air conditioning, lighting, shades, refrigeration, and building access that deliver end-to-end optimization of those building systems; and building management software that enhances building system management and automates labor intensive tasks. This segment serves system integrators, as well as retail stores, airports, and enterprise campuses. It offers its products and solutions under the Atrius, Distech Controls, and KE2 Therm Solutions brands. Acuity Brands, Inc. was incorporated in 2001 and is headquartered in Atlanta, Georgia."
EG,Insurance - Reinsurance,Financial Services,"Everest Group, Ltd.",Bermuda,"Everest Group, Ltd., through its subsidiaries, provides reinsurance and insurance products in the United States, Europe, and internationally. The company operates through two segment, Insurance and Reinsurance. The Reinsurance segment writes property and casualty reinsurance; and specialty lines of business through reinsurance brokers, as well as directly with ceding companies in the United States, Bermuda, Ireland, Canada, Singapore, Switzerland, and the United Kingdom. The Insurance Operations segment writes property and casualty insurance directly, as well as through brokers, surplus lines, and general agents in the United States, Bermuda, Canada, Europe, South America, Singapore, France, Germany, Spain, Canada, Chile, the United Kingdom, Ireland, and the Netherlands. The company also provides treaty and facultative reinsurance products; admitted and non-admitted insurance products; and accident and health, specialty underwriters, eversports and entertainment, and surety and credit, marine and aviation, as well as structured and property hybrid solutions. In addition, it offers commercial property and casualty insurance products through wholesale and retail brokers, surplus lines brokers, and program administrators. The company was formerly known as Everest Re Group, Ltd. and changed its name to Everest Group, Ltd. in July 2023.Everest Group, Ltd., was founded in 1973 and is headquartered in Hamilton, Bermuda."
